codigo,codigo_nuevo,clasificador,nombre_ocupacion
47-3014,17,onet,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
47-3012,17,onet,Helpers--Carpenters
47-3019,17,onet,"Helpers, Construction Trades, All Other"
47-4051,17,onet,Highway Maintenance Workers
1225,18,sinco,Comandantes de las fuerzas armadas
1525,18,sinco,"Capitanes, tenientes y jefes de área de las fuerzas armadas"
55-1013,18,onet,Armored Assault Vehicle Officers
55-1014,18,onet,Artillery and Missile Officers
55-1017,18,onet,Special Forces Officers
55-1015,18,onet,Command and Control Center Officers
55-1012,18,onet,Aircraft Launch and Recovery Officers
55-1011,18,onet,Air Crew Officers
55-1019,18,onet,"Military Officer Special and Tactical Operations Leaders, All Other"
55-1016,18,onet,Infantry Officers
29-1129,19,onet,"Therapists, All Other"
29-1122,19,onet,Occupational Therapists
29-1125,19,onet,Recreational Therapists
29-1127,19,onet,Speech-Language Pathologists
29-1126,19,onet,Respiratory Therapists
29-1128,19,onet,Exercise Physiologists
29-1123,19,onet,Physical Therapists
29-1124,19,onet,Radiation Therapists
29-1181,19,onet,Audiologists
2427,19,sinco,"Fisioterapeutas, audiólogos y logopedas"
7331,20,sinco,Trabajadores en la preparación de fibras e hilados
51-6031,20,onet,Sewing Machine Operators
51-6062,20,onet,"Textile Cutting Machine Setters, Operators, and Tenders"
51-6063,20,onet,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
51-6064,20,onet,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
51-6061,20,onet,Textile Bleaching and Dyeing Machine Operators and Tenders
8152,20,sinco,"Operadores de máquinas para fabricar tejidos de punto, telas y alfombras"
7352,20,sinco,"Peleteros, cortadores, curtidores y teñidores de cuero, piel y similares"
8153,20,sinco,"Operadores de máquinas de costura, bordado y de corte para la confección de productos textiles y prendas de vestir"
8155,20,sinco,"Operadores de máquinas de lavado, blanqueo, teñido, estampado, afelpado, planchado y acabado de productos textiles, cuero, piel y similares"
7201,21,sinco,Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal
7301,21,sinco,"Supervisores de artesanos y trabajadores en la elaboración de productos de madera, papel, textiles y de cuero y piel"
8101,21,sinco,Supervisores de operadores de maquinaria industrial
7401,21,sinco,"Supervisores de artesanos y trabajadores en la elaboración de productos de hule, caucho, plásticos y de sustancias químicas"
8201,21,sinco,"Supervisores en procesos de ensamblado y montaje de  maquinaria, herramientas y productos metálicos y electrónicos"
51-9061,21,onet,"Inspectors, Testers, Sorters, Samplers, and Weighers"
1613,21,sinco,Coordinadores y jefes de área en generación y provisión de energía eléctrica y agua
7601,21,sinco,"Supervisores de artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares"
51-1011,21,onet,First-Line Supervisors of Production and Operating Workers
43-4011,22,onet,Brokerage Clerks
43-4041,22,onet,"Credit Authorizers, Checkers, and Clerks"
43-4131,22,onet,Loan Interviewers and Clerks
13-2071,22,onet,Credit Counselors
13-2072,22,onet,Loan Officers
2512,22,sinco,"Auxiliares en contabilidad, economía, finanzas y agentes de bolsa"
13-2041,22,onet,Credit Analysts
43-3021,22,onet,Billing and Posting Clerks
43-3031,22,onet,"Bookkeeping, Accounting, and Auditing Clerks"
2131,23,sinco,"Antropólogos, arqueólogos e historiadores"
19-3099,23,onet,"Social Scientists and Related Workers, All Other"
19-3091,23,onet,Anthropologists and Archeologists
19-3093,23,onet,Historians
19-3092,23,onet,Geographers
19-3094,23,onet,Political Scientists
2133,23,sinco,Investigadores y especialistas en ciencias políticas y administración pública
2134,23,sinco,Geógrafos
2141,23,sinco,Investigadores y especialistas en filosofía y letras (filólogos)
27-1019,24,onet,"Artists and Related Workers, All Other"
27-1011,24,onet,Art Directors
27-1012,24,onet,Craft Artists
27-1013,24,onet,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-1014,24,onet,Special Effects Artists and Animators
2161,24,sinco,Pintores
2162,24,sinco,"Dibujantes y diseñadores artísticos, ilustradores y grabadores"
2163,24,sinco,Escultores
7611,24,sinco,Alfareros y trabajadores ceramistas
2312,25,sinco,"Pedagogos, orientadores educativos y otros especialistas en ciencias educativas"
21-1011,25,onet,Substance Abuse and Behavioral Disorder Counselors
21-1012,25,onet,"Educational, Guidance, and Career Counselors and Advisors"
21-1013,25,onet,Marriage and Family Therapists
21-1015,25,onet,Rehabilitation Counselors
21-1019,25,onet,"Counselors, All Other"
21-1014,25,onet,Mental Health Counselors
25-9031,25,onet,Instructional Coordinators
2711,25,sinco,Auxiliares y técnicos en pedagogía y en educación
2511,26,sinco,"Auxiliares en administración, mercadotecnia, comercialización y comercio exterior"
13-1051,26,onet,Cost Estimators
13-1131,26,onet,Fundraisers
19-3022,26,onet,Survey Researchers
43-3051,26,onet,Payroll and Timekeeping Clerks
43-3061,26,onet,Procurement Clerks
43-4161,26,onet,"Human Resources Assistants, Except Payroll and Timekeeping"
43-5061,26,onet,"Production, Planning, and Expediting Clerks"
43-9041,26,onet,Insurance Claims and Policy Processing Clerks
2531,27,sinco,Auxiliares en ciencias sociales y humanistas
19-4061,27,onet,Social Science Research Assistants
21-1091,27,onet,Health Educators
21-1094,27,onet,Community Health Workers
21-1093,27,onet,Social and Human Service Assistants
21-1099,27,onet,"Community and Social Service Specialists, All Other"
21-1092,27,onet,Probation Officers and Correctional Treatment Specialists
25-4031,27,onet,Library Technicians
43-4121,27,onet,"Library Assistants, Clerical"
49-3091,28,onet,Bicycle Repairers
49-3093,28,onet,Tire Repairers and Changers
49-3092,28,onet,Recreational Vehicle Service Technicians
51-4062,28,onet,"Patternmakers, Metal and Plastic"
51-4061,28,onet,"Model Makers, Metal and Plastic"
51-4111,28,onet,Tool and Die Makers
2634,28,sinco,Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales
7411,28,sinco,"Trabajadores en la elaboración y reparación de productos de hule, caucho, plásticos y vulcanización de neumáticos"
47-2011,28,onet,Boilermakers
13-1081,29,onet,Logisticians
13-1111,29,onet,Management Analysts
13-1141,29,onet,"Compensation, Benefits, and Job Analysis Specialists"
25-9021,29,onet,Farm and Home Management Educators
13-1022,29,onet,"Wholesale and Retail Buyers, Except Farm Products"
13-1023,29,onet,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1021,29,onet,"Buyers and Purchasing Agents, Farm Products"
2111,29,sinco,Administradores y especialistas en recursos humanos y sistemas de gestión
53-7081,30,onet,Refuse and Recyclable Material Collectors
8341,30,sinco,"Conductores de camiones, camionetas y automóviles de carga"
4214,30,sinco,Choferes vendedores
9621,30,sinco,Barrenderos y trabajadores de limpieza  (excepto en hoteles y restaurantes)
53-3032,30,onet,Heavy and Tractor-Trailer Truck Drivers
53-3033,30,onet,Light Truck Drivers
53-3031,30,onet,Driver/Sales Workers
9661,30,sinco,Recolectores de basura y material reciclable
