"p3","ingocup","se","cv"
2561,11866.3611859838,6005.44932600525,0.506090218549786
2562,7473.40659450292,741.176312812742,0.0991751624162822
2563,6182.86225695075,651.859812666009,0.10543010430698
2611,8833.77472821244,965.432537130003,0.109288788409636
2612,10852.9146572199,873.708018107094,0.0805044585443099
2613,8441.77784395473,1141.74579648349,0.13524944834945
2614,7974.60764484059,1173.74906301091,0.1471858071626
2621,11095.9263223823,1043.89142184823,0.0940787989680979
2622,10010.8343508344,1526.48507214707,0.152483301456271
2623,23052.9243027888,7685.69598020053,0.333393537377414
2624,9180.6495547407,1189.44297147961,0.129559783802596
2625,9835.37865588052,762.407168284809,0.0775168089567116
2630,20635.4106532302,4223.85563531037,0.204689681552288
2631,10483.8815843201,917.221831461156,0.0874887630200791
2632,9046.17765346482,217.699170614139,0.0240653211725017
2633,11290.272582183,400.199544440656,0.0354464023368404
2634,11324.7264395351,583.553628990571,0.0515291589696473
2635,13591.4520657842,1874.92378933118,0.137948747511033
2636,8656.07277882798,1347.59709829716,0.155682274482866
2637,9672.80161694275,451.227590287073,0.0466491103773604
2638,11313.5666833793,1166.45427667547,0.103102258493699
2639,9495.47606793618,849.085566354288,0.0894200101479308
2640,12821.9628283791,1044.31976062964,0.0814477295409272
2641,10101.5208853049,455.967308627663,0.045138481007447
2642,8990.50437270341,264.967368146886,0.0294719136060229
2643,8591.31438434219,403.025333268852,0.0469107886452593
2644,8060.3314679917,604.79177899389,0.0750331151262913
2645,10573.3807882512,718.247684830352,0.0679298040252601
2646,9553.37726453357,585.969099585548,0.0613363299030311
2651,9503.92146898245,567.014778804005,0.0596611388945655
2652,7011.41334785314,809.575614185444,0.115465395351899
2653,13652.5717670011,2041.31193672547,0.149518491575296
2654,8743.42961621509,779.232409221455,0.0891220543225204
2655,7417.1476138361,769.33346446897,0.10372362861349
2661,19643.006993007,3121.56985416356,0.15891507116374
2662,11764.7520237145,1742.31041642674,0.148095804562198
2711,5048.99142915957,318.62586370331,0.0631068339437341
2712,8254.55892681556,1886.26412996216,0.228511801379779
2713,8492.5657708628,1311.13804101258,0.15438656307037
2714,6998.55593461989,770.954869583956,0.110159135225348
2715,11539.6279423114,1040.03752057989,0.0901274742807319
2716,6590.99247349276,457.222910342154,0.0693708742926022
2811,9999.7357165957,474.952785204006,0.0474965337749644
2812,8699.82516783763,711.853135635714,0.0818238438017539
2813,10747.9729288976,1321.37903844625,0.122942162879246
2814,6195.56456282571,1141.00994433144,0.184165612796236
2815,10545.4371848514,870.371137869612,0.0825353299832753
2816,10101.5967660435,2071.43712520684,0.205060365522605
2817,5394.11840828211,1909.26624275691,0.353953342927258
2821,8928.34061496875,299.974442787185,0.0335980061383708
2822,5688.87209690336,446.789077169702,0.0785373742912771
2823,9548.71186646434,653.876748842208,0.0684780060375121
2824,4174.25063291139,2255.23635426429,0.540273345467841
2825,10131.3408856289,820.199639616889,0.0809566718636746
2826,3870.98757763975,1376.62804183885,0.355627088495649
2827,6566.75493314059,464.283552872459,0.070702128768252
2991,9832.85964912281,4642.3677747343,0.472127940435766
2992,11254.1582733813,1620.33081564762,0.143976188737285
3101,10354.85201637,521.714245385372,0.0503835539668355
3111,8084.53691564222,184.859510790361,0.0228658131837693
3112,13422.4628712871,1693.28556469826,0.126153119657382
3113,9119.43454629347,291.477442959083,0.0319622276446463
3114,4579.70813612801,851.801118904676,0.185994629698137
3115,9688.97542267679,207.281603266448,0.0213935523854577
3121,6565.97020976516,102.774876944186,0.0156526566007465
3122,8930.09857948031,403.825754179609,0.0452207498702786
3131,9629.33014271615,571.391265481295,0.0593386307264072
3132,7935.0504563958,152.19713685359,0.0191803615729899
3141,10549.1975185111,991.456144837478,0.0939840346242195
3142,6952.02001466724,569.842313255868,0.0819678758193483
3201,14861.4830245546,3908.3313435394,0.262983938889675
3211,7593.9599157042,222.748907096046,0.0293323785704221
3212,8809.63223470884,501.898910669917,0.0569716075879421
3213,8573.47437404281,433.385341567136,0.0505495581673703
3221,13377.6702727646,1096.44134249344,0.0819605596593059
3222,10385.8943361754,2411.09036982977,0.23215048139202
3231,9393.29278464081,565.985581605799,0.0602542254970754
3232,10971.1748603352,1193.83028262119,0.108815172287275
3999,7984.66386554622,1130.20395580711,0.141546842151231
